,subject,relation,object
34060,san_mateo,monday,"overcast, low of 60f, high of 70f"
34063,san_mateo,thursday,"raining, low of 90f, high of 100f"
34064,san_mateo,friday,"rain, low of 80f, high of 90f"
34066,san_mateo,sunday,"overcast, low of 50f, high of 70f"
34067,menlo_park,monday,"windy, low of 80f, high of 100f"
34068,menlo_park,tuesday,"windy, low of 40f, high of 50f"
34070,menlo_park,thursday,"foggy, low of 50f, high of 70f"
34071,menlo_park,friday,"foggy, low of 20f, high of 30f"
34072,menlo_park,saturday,"snow, low of 40f, high of 60f"
34074,san_jose,monday,"rain, low of 60f, high of 80f"
34077,san_jose,thursday,"warm, low of 90f, high of 100f"
34078,san_jose,friday,"misty, low of 90f, high of 100f"
34080,san_jose,sunday,"snow, low of 70f, high of 80f"
34081,manhattan,monday,"hail, low of 30f, high of 50f"
34082,manhattan,tuesday,"misty, low of 30f, high of 40f"
34084,manhattan,thursday,"overcast, low of 30f, high of 50f"
34086,manhattan,saturday,"rain, low of 20f, high of 40f"
34087,manhattan,sunday,"foggy, low of 80f, high of 90f"
34088,alhambra,monday,"foggy, low of 50f, high of 60f"
34089,alhambra,tuesday,"blizzard, low of 20f, high of 30f"
34090,alhambra,wednesday,"clear skies, low of 50f, high of 60f"
34092,alhambra,friday,"foggy, low of 60f, high of 80f"
34098,cleveland,thursday,"dry, low of 40f, high of 50f"
34099,cleveland,friday,"cloudy, low of 40f, high of 50f"
34101,cleveland,sunday,"dew, low of 80f, high of 100f"
34102,new_york,monday,"foggy, low of 50f, high of 70f"
34103,new_york,tuesday,"misty, low of 30f, high of 40f"
34104,new_york,wednesday,"overcast, low of 90f, high of 100f"
34106,new_york,friday,"dry, low of 30f, high of 50f"
34107,new_york,saturday,"dew, low of 20f, high of 40f"
34109,san_mateo,monday,"snow, low of 50f, high of 70f"
34111,san_mateo,wednesday,"hot, low of 80f, high of 100f"
34112,san_mateo,thursday,"foggy, low of 50f, high of 70f"
34113,san_mateo,friday,"stormy, low of 90f, high of 100f"
34114,san_mateo,saturday,"dry, low of 40f, high of 50f"
34116,grand_rapids,monday,"misty, low of 40f, high of 50f"
34117,grand_rapids,tuesday,"foggy, low of 50f, high of 60f"
34118,grand_rapids,wednesday,"snow, low of 40f, high of 50f"
34119,grand_rapids,thursday,"clear skies, low of 80f, high of 100f"
34120,grand_rapids,friday,"hot, low of 70f, high of 80f"
34121,grand_rapids,saturday,"dry, low of 60f, high of 80f"
34122,grand_rapids,sunday,"frost, low of 20f, high of 40f"
34153,brentwood,monday,"snow, low of 90f, high of 100f"
34155,brentwood,wednesday,"overcast, low of 70f, high of 80f"
34156,brentwood,thursday,"rain, low of 30f, high of 40f"
34157,brentwood,friday,"stormy, low of 90f, high of 100f"
34158,brentwood,saturday,"foggy, low of 70f, high of 80f"
34159,brentwood,sunday,"raining, low of 20f, high of 40f"
34160,oakland,monday,"humid, low of 60f, high of 80f"
34162,oakland,wednesday,"hail, low of 50f, high of 60f"
34163,oakland,thursday,"dew, low of 80f, high of 100f"
34164,oakland,friday,"foggy, low of 20f, high of 30f"
34165,oakland,saturday,"overcast, low of 80f, high of 90f"
34166,oakland,sunday,"windy, low of 40f, high of 50f"
34167,san_francisco,monday,"hail, low of 80f, high of 100f"
34168,san_francisco,tuesday,"windy, low of 40f, high of 50f"
34169,san_francisco,wednesday,"dew, low of 90f, high of 100f"
34171,san_francisco,friday,"dry, low of 40f, high of 50f"
34173,san_francisco,sunday,"blizzard, low of 40f, high of 50f"
34174,fresno,monday,"hail, low of 60f, high of 70f"
34175,fresno,tuesday,"dew, low of 60f, high of 70f"
34177,fresno,thursday,"snow, low of 70f, high of 80f"
34178,fresno,friday,"dry, low of 20f, high of 30f"
34179,fresno,saturday,"raining, low of 40f, high of 50f"
34180,fresno,sunday,"overcast, low of 90f, high of 100f"
34181,danville,monday,"blizzard, low of 50f, high of 60f"
34182,danville,tuesday,"misty, low of 30f, high of 40f"
34183,danville,wednesday,"clear skies, low of 80f, high of 100f"
34186,danville,saturday,"dew, low of 20f, high of 40f"
34188,atherton,monday,"humid, low of 70f, high of 80f"
34189,atherton,tuesday,"stormy, low of 40f, high of 50f"
34190,atherton,wednesday,"foggy, low of 70f, high of 90f"
34192,atherton,friday,"raining, low of 60f, high of 70f"
34194,atherton,sunday,"misty, low of 80f, high of 90f"
34196,grand_rapids,tuesday,"hail, low of 70f, high of 80f"
34198,grand_rapids,thursday,"hot, low of 70f, high of 90f"
34200,grand_rapids,saturday,"hail, low of 40f, high of 50f"
34201,grand_rapids,sunday,"cloudy, low of 20f, high of 30f"
34232,corona,monday,"windy, low of 80f, high of 90f"
34233,corona,tuesday,"windy, low of 50f, high of 70f"
34234,corona,wednesday,"cloudy, low of 40f, high of 60f"
34236,corona,friday,"snow, low of 60f, high of 70f"
34237,corona,saturday,"windy, low of 50f, high of 60f"
34239,los_angeles,monday,"misty, low of 20f, high of 40f"
34241,los_angeles,wednesday,"hail, low of 40f, high of 60f"
34244,los_angeles,saturday,"foggy, low of 20f, high of 30f"
34245,los_angeles,sunday,"drizzle, low of 60f, high of 70f"
34246,san_francisco,monday,"overcast, low of 50f, high of 60f"
34249,san_francisco,thursday,"humid, low of 80f, high of 100f"
34250,san_francisco,friday,"cloudy, low of 60f, high of 70f"
34252,san_francisco,sunday,"frost, low of 50f, high of 60f"
34254,boston,tuesday,"humid, low of 80f, high of 100f"
34256,boston,thursday,"warm, low of 60f, high of 80f"
34258,boston,saturday,"rain, low of 20f, high of 30f"
34261,new_york,tuesday,"frost, low of 30f, high of 50f"
34264,new_york,friday,"dew, low of 50f, high of 70f"
34266,new_york,sunday,"snow, low of 50f, high of 70f"
34267,danville,monday,"foggy, low of 80f, high of 100f"
34268,danville,tuesday,"snow, low of 20f, high of 40f"
34270,danville,thursday,"clear skies, low of 90f, high of 100f"
34272,danville,saturday,"hail, low of 70f, high of 80f"
34273,danville,sunday,"dry, low of 30f, high of 50f"
34274,brentwood,monday,"dew, low of 60f, high of 80f"
34277,brentwood,thursday,"foggy, low of 60f, high of 80f"
34278,brentwood,friday,"stormy, low of 70f, high of 80f"
34279,brentwood,saturday,"humid, low of 80f, high of 100f"
34280,brentwood,sunday,"cloudy, low of 50f, high of 60f"
34282,oakland,tuesday,"hail, low of 40f, high of 50f"
34284,oakland,thursday,"foggy, low of 40f, high of 60f"
34285,oakland,friday,"rain, low of 70f, high of 80f"
34286,oakland,saturday,"blizzard, low of 30f, high of 40f"
34287,oakland,sunday,"dry, low of 40f, high of 50f"
34288,exeter,monday,"snow, low of 50f, high of 60f"
34289,exeter,tuesday,"cloudy, low of 40f, high of 50f"
34290,exeter,wednesday,"hail, low of 80f, high of 90f"
34291,exeter,thursday,"clear skies, low of 20f, high of 40f"
34292,exeter,friday,"rain, low of 40f, high of 60f"
34293,exeter,saturday,"warm, low of 60f, high of 80f"
34294,exeter,sunday,"foggy, low of 80f, high of 100f"
34295,alhambra,monday,"dew, low of 50f, high of 60f"
34297,alhambra,wednesday,"snow, low of 80f, high of 100f"
34298,alhambra,thursday,"windy, low of 60f, high of 80f"
34299,alhambra,friday,"clear skies, low of 40f, high of 60f"
34301,alhambra,sunday,"dew, low of 90f, high of 100f"
34302,manhattan,monday,"drizzle, low of 30f, high of 40f"
34304,manhattan,wednesday,"stormy, low of 80f, high of 100f"
34307,manhattan,saturday,"stormy, low of 70f, high of 90f"
34308,manhattan,sunday,"clear skies, low of 80f, high of 90f"
34309,alameda,monday,"windy, low of 30f, high of 40f"
34311,alameda,wednesday,"dry, low of 40f, high of 60f"
34312,alameda,thursday,"raining, low of 90f, high of 100f"
34313,alameda,friday,"warm, low of 50f, high of 70f"
34314,alameda,saturday,"drizzle, low of 60f, high of 80f"
34315,alameda,sunday,"windy, low of 30f, high of 40f"
34316,danville,monday,"rain, low of 70f, high of 90f"
34317,danville,tuesday,"stormy, low of 50f, high of 70f"
34318,danville,wednesday,"snow, low of 70f, high of 80f"
34319,danville,thursday,"warm, low of 60f, high of 70f"
34320,danville,friday,"drizzle, low of 90f, high of 100f"
34325,compton,wednesday,"cloudy, low of 40f, high of 60f"
34326,compton,thursday,"overcast, low of 50f, high of 60f"
34327,compton,friday,"hail, low of 60f, high of 70f"
34332,mountain_view,wednesday,"frost, low of 20f, high of 30f"
34334,mountain_view,friday,"raining, low of 60f, high of 80f"
34335,mountain_view,saturday,"stormy, low of 60f, high of 80f"
34336,mountain_view,sunday,"overcast, low of 80f, high of 90f"
34338,manhattan,tuesday,"dew, low of 90f, high of 100f"
34339,manhattan,wednesday,"warm, low of 50f, high of 70f"
34340,manhattan,thursday,"cloudy, low of 70f, high of 80f"
34341,manhattan,friday,"frost, low of 30f, high of 40f"
34343,manhattan,sunday,"windy, low of 40f, high of 50f"
34347,redwood_city,thursday,"windy, low of 20f, high of 40f"
34349,redwood_city,saturday,"warm, low of 60f, high of 80f"
34350,redwood_city,sunday,"clear skies, low of 80f, high of 90f"
34353,alameda,wednesday,"hot, low of 70f, high of 90f"
34355,alameda,friday,"dew, low of 30f, high of 50f"
34356,alameda,saturday,"overcast, low of 20f, high of 30f"
34358,camarillo,monday,"drizzle, low of 30f, high of 50f"
34359,camarillo,tuesday,"snow, low of 80f, high of 100f"
34360,camarillo,wednesday,"foggy, low of 70f, high of 80f"
34361,camarillo,thursday,"overcast, low of 30f, high of 50f"
34363,camarillo,saturday,"misty, low of 60f, high of 70f"
34364,camarillo,sunday,"overcast, low of 60f, high of 80f"
34367,fresno,wednesday,"dew, low of 90f, high of 100f"
34369,fresno,friday,"misty, low of 30f, high of 50f"
34371,fresno,sunday,"drizzle, low of 20f, high of 40f"
34373,carson,tuesday,"clear skies, low of 80f, high of 90f"
34375,carson,thursday,"stormy, low of 70f, high of 80f"
34377,carson,saturday,"windy, low of 50f, high of 70f"
34378,carson,sunday,"frost, low of 40f, high of 50f"
34379,atherton,monday,"snow, low of 50f, high of 60f"
34380,atherton,tuesday,"dry, low of 30f, high of 40f"
34381,atherton,wednesday,"snow, low of 60f, high of 70f"
34382,atherton,thursday,"overcast, low of 60f, high of 80f"
34383,atherton,friday,"raining, low of 90f, high of 100f"
34384,atherton,saturday,"windy, low of 40f, high of 60f"
34385,atherton,sunday,"clear skies, low of 50f, high of 60f"
34386,danville,monday,"hail, low of 40f, high of 50f"
34387,danville,tuesday,"windy, low of 20f, high of 30f"
34388,danville,wednesday,"dry, low of 30f, high of 50f"
34389,danville,thursday,"cloudy, low of 70f, high of 90f"
34391,danville,saturday,"dew, low of 20f, high of 30f"
34392,danville,sunday,"misty, low of 40f, high of 60f"
34394,boston,tuesday,"clear skies, low of 50f, high of 60f"
34406,inglewood,sunday,"dew, low of 40f, high of 60f"
34407,mountain_view,monday,"clear skies, low of 70f, high of 80f"
34408,mountain_view,tuesday,"humid, low of 80f, high of 90f"
34410,mountain_view,thursday,"blizzard, low of 50f, high of 60f"
34413,mountain_view,sunday,"misty, low of 20f, high of 40f"
34414,oakland,monday,"hail, low of 60f, high of 80f"
34416,oakland,wednesday,"foggy, low of 50f, high of 60f"
34417,oakland,thursday,"clear skies, low of 20f, high of 40f"
34418,oakland,friday,"misty, low of 50f, high of 70f"
34419,oakland,saturday,"windy, low of 80f, high of 100f"
34421,carson,monday,"windy, low of 20f, high of 40f"
34423,carson,wednesday,"dew, low of 30f, high of 50f"
34424,carson,thursday,"stormy, low of 80f, high of 100f"
34427,carson,sunday,"drizzle, low of 30f, high of 40f"
34428,danville,monday,"foggy, low of 90f, high of 100f"
34430,danville,wednesday,"misty, low of 40f, high of 60f"
34434,danville,sunday,"misty, low of 50f, high of 60f"
34436,fresno,tuesday,"dew, low of 50f, high of 70f"
34437,fresno,wednesday,"cloudy, low of 30f, high of 40f"
34438,fresno,thursday,"rain, low of 50f, high of 70f"
34440,fresno,saturday,"drizzle, low of 90f, high of 100f"
34441,fresno,sunday,"stormy, low of 50f, high of 70f"
34442,corona,monday,"foggy, low of 40f, high of 50f"
34443,corona,tuesday,"warm, low of 80f, high of 100f"
34444,corona,wednesday,"frost, low of 30f, high of 40f"
34445,corona,thursday,"stormy, low of 70f, high of 90f"
34446,corona,friday,"foggy, low of 80f, high of 100f"
34447,corona,saturday,"windy, low of 60f, high of 80f"
34449,los_angeles,monday,"hail, low of 50f, high of 60f"
34450,los_angeles,tuesday,"misty, low of 70f, high of 90f"
34451,los_angeles,wednesday,"windy, low of 80f, high of 100f"
34452,los_angeles,thursday,"clear skies, low of 50f, high of 70f"
34453,los_angeles,friday,"overcast, low of 60f, high of 80f"
34455,los_angeles,sunday,"hot, low of 50f, high of 70f"
34456,inglewood,monday,"hail, low of 70f, high of 80f"
34457,inglewood,tuesday,"clear skies, low of 50f, high of 60f"
34458,inglewood,wednesday,"blizzard, low of 40f, high of 50f"
34459,inglewood,thursday,"dry, low of 60f, high of 70f"
34462,inglewood,sunday,"clear skies, low of 70f, high of 90f"
34463,menlo_park,monday,"dry, low of 60f, high of 80f"
34464,menlo_park,tuesday,"foggy, low of 50f, high of 60f"
34468,menlo_park,saturday,"snow, low of 30f, high of 40f"
34469,menlo_park,sunday,"frost, low of 50f, high of 60f"
34470,san_mateo,monday,"overcast, low of 70f, high of 80f"
34472,san_mateo,wednesday,"humid, low of 80f, high of 90f"
34474,san_mateo,friday,"drizzle, low of 80f, high of 100f"
34475,san_mateo,saturday,"dew, low of 70f, high of 90f"
34476,san_mateo,sunday,"windy, low of 30f, high of 40f"
34478,downtown_chicago,tuesday,"frost, low of 40f, high of 50f"
34479,downtown_chicago,wednesday,"rain, low of 20f, high of 30f"
34482,downtown_chicago,saturday,"foggy, low of 90f, high of 100f"
34483,downtown_chicago,sunday,"overcast, low of 40f, high of 60f"
34485,compton,tuesday,"blizzard, low of 30f, high of 40f"
34486,compton,wednesday,"clear skies, low of 40f, high of 50f"
34487,compton,thursday,"dry, low of 30f, high of 50f"
34489,compton,saturday,"snow, low of 60f, high of 70f"
34490,compton,sunday,"dry, low of 70f, high of 80f"
34491,fresno,monday,"snow, low of 60f, high of 80f"
34492,fresno,tuesday,"clear skies, low of 60f, high of 80f"
34493,fresno,wednesday,"drizzle, low of 30f, high of 50f"
34494,fresno,thursday,"rain, low of 70f, high of 90f"
34495,fresno,friday,"snow, low of 50f, high of 60f"
34497,fresno,sunday,"overcast, low of 50f, high of 60f"
34498,exeter,monday,"drizzle, low of 30f, high of 50f"
34499,exeter,tuesday,"hot, low of 70f, high of 90f"
34501,exeter,thursday,"blizzard, low of 50f, high of 60f"
34502,exeter,friday,"overcast, low of 40f, high of 60f"
34503,exeter,saturday,"snow, low of 80f, high of 100f"
34505,boston,monday,"raining, low of 20f, high of 40f"
34506,boston,tuesday,"foggy, low of 40f, high of 60f"
34510,boston,saturday,"rain, low of 50f, high of 70f"
34511,boston,sunday,"warm, low of 70f, high of 80f"
34514,san_francisco,wednesday,"snow, low of 20f, high of 30f"
34515,san_francisco,thursday,"warm, low of 90f, high of 100f"
34516,san_francisco,friday,"foggy, low of 70f, high of 80f"
34517,san_francisco,saturday,"rain, low of 80f, high of 90f"
34519,new_york,monday,"rain, low of 80f, high of 90f"
34520,new_york,tuesday,"drizzle, low of 30f, high of 50f"
34521,new_york,wednesday,"cloudy, low of 50f, high of 70f"
34523,new_york,friday,"windy, low of 60f, high of 70f"
34524,new_york,saturday,"rain, low of 30f, high of 50f"
34596,manhattan,monday,"foggy, low of 30f, high of 50f"
34598,manhattan,wednesday,"misty, low of 70f, high of 80f"
34599,manhattan,thursday,"dew, low of 40f, high of 50f"
34601,manhattan,saturday,"drizzle, low of 30f, high of 50f"
34603,menlo_park,monday,"drizzle, low of 70f, high of 80f"
34604,menlo_park,tuesday,"dry, low of 80f, high of 90f"
34606,menlo_park,thursday,"overcast, low of 50f, high of 60f"
34609,menlo_park,sunday,"hail, low of 20f, high of 40f"
34612,san_francisco,wednesday,"raining, low of 30f, high of 50f"
34614,san_francisco,friday,"dew, low of 20f, high of 40f"
34615,san_francisco,saturday,"dew, low of 60f, high of 80f"
34616,san_francisco,sunday,"rain, low of 70f, high of 90f"
34617,new_york,monday,"misty, low of 60f, high of 80f"
34618,new_york,tuesday,"raining, low of 70f, high of 80f"
34621,new_york,friday,"cloudy, low of 70f, high of 80f"
34622,new_york,saturday,"overcast, low of 20f, high of 40f"
34623,new_york,sunday,"drizzle, low of 30f, high of 40f"
34624,alameda,monday,"dry, low of 50f, high of 60f"
34625,alameda,tuesday,"drizzle, low of 70f, high of 90f"
34626,alameda,wednesday,"snow, low of 50f, high of 60f"
34628,alameda,friday,"blizzard, low of 20f, high of 30f"
34629,alameda,saturday,"blizzard, low of 20f, high of 30f"
34630,alameda,sunday,"hail, low of 70f, high of 90f"
34631,inglewood,monday,"windy, low of 80f, high of 90f"
34632,inglewood,tuesday,"overcast, low of 90f, high of 100f"
34633,inglewood,wednesday,"raining, low of 40f, high of 60f"
34635,inglewood,friday,"warm, low of 80f, high of 90f"
34637,inglewood,sunday,"dry, low of 30f, high of 40f"
34639,fresno,tuesday,"stormy, low of 50f, high of 70f"
34642,fresno,friday,"humid, low of 50f, high of 70f"
34643,fresno,saturday,"hail, low of 50f, high of 60f"
34645,corona,monday,"clear skies, low of 40f, high of 50f"
34646,corona,tuesday,"humid, low of 70f, high of 90f"
34648,corona,thursday,"warm, low of 60f, high of 70f"
34649,corona,friday,"clear skies, low of 20f, high of 40f"
34650,corona,saturday,"raining, low of 30f, high of 40f"
34651,corona,sunday,"cloudy, low of 90f, high of 100f"
34653,compton,tuesday,"hot, low of 80f, high of 100f"
34654,compton,wednesday,"misty, low of 80f, high of 90f"
34655,compton,thursday,"dry, low of 80f, high of 100f"
34656,compton,friday,"stormy, low of 30f, high of 40f"
34657,compton,saturday,"misty, low of 20f, high of 40f"
34658,compton,sunday,"frost, low of 40f, high of 60f"
34659,brentwood,monday,"raining, low of 50f, high of 60f"
34661,brentwood,wednesday,"snow, low of 30f, high of 40f"
34662,brentwood,thursday,"warm, low of 80f, high of 90f"
34663,brentwood,friday,"clear skies, low of 60f, high of 70f"
34664,brentwood,saturday,"cloudy, low of 50f, high of 60f"
34665,brentwood,sunday,"overcast, low of 40f, high of 50f"
34666,san_jose,monday,"dry, low of 70f, high of 80f"
34669,san_jose,thursday,"dew, low of 20f, high of 30f"
34670,san_jose,friday,"dew, low of 90f, high of 100f"
34671,san_jose,saturday,"raining, low of 30f, high of 50f"
34672,san_jose,sunday,"warm, low of 70f, high of 90f"
34675,cleveland,wednesday,"foggy, low of 30f, high of 50f"
34676,cleveland,thursday,"dew, low of 20f, high of 30f"
34677,cleveland,friday,"dry, low of 60f, high of 70f"
34678,cleveland,saturday,"hail, low of 70f, high of 90f"
34680,alhambra,monday,"overcast, low of 50f, high of 70f"
34681,alhambra,tuesday,"foggy, low of 40f, high of 50f"
34683,alhambra,thursday,"misty, low of 90f, high of 100f"
34685,alhambra,saturday,"raining, low of 70f, high of 80f"
34686,alhambra,sunday,"snow, low of 60f, high of 70f"
34687,mountain_view,monday,"stormy, low of 80f, high of 100f"
34691,mountain_view,friday,"foggy, low of 60f, high of 70f"
34692,mountain_view,saturday,"rain, low of 50f, high of 60f"
34693,mountain_view,sunday,"rain, low of 80f, high of 90f"
34743,menlo_park,tuesday,"hail, low of 20f, high of 40f"
34746,menlo_park,friday,"hail, low of 50f, high of 70f"
34747,menlo_park,saturday,"windy, low of 80f, high of 90f"
34749,exeter,monday,"rain, low of 40f, high of 50f"
34751,exeter,wednesday,"snow, low of 70f, high of 80f"
34752,exeter,thursday,"humid, low of 50f, high of 70f"
34753,exeter,friday,"raining, low of 80f, high of 100f"
34754,exeter,saturday,"dry, low of 30f, high of 50f"
34755,exeter,sunday,"rain, low of 60f, high of 70f"
34758,durham,wednesday,"overcast, low of 90f, high of 100f"
34759,durham,thursday,"clear skies, low of 40f, high of 50f"
34760,durham,friday,"foggy, low of 70f, high of 90f"
34761,durham,saturday,"snow, low of 60f, high of 70f"
34762,durham,sunday,"rain, low of 30f, high of 50f"
34763,los_angeles,monday,"rain, low of 30f, high of 50f"
34765,los_angeles,wednesday,"cloudy, low of 20f, high of 30f"
34769,los_angeles,sunday,"snow, low of 70f, high of 90f"
34772,san_francisco,wednesday,"humid, low of 80f, high of 90f"
34774,san_francisco,friday,"dry, low of 60f, high of 80f"
34775,san_francisco,saturday,"foggy, low of 70f, high of 80f"
34776,san_francisco,sunday,"foggy, low of 60f, high of 80f"
34777,cleveland,monday,"snow, low of 50f, high of 70f"
34779,cleveland,wednesday,"snow, low of 90f, high of 100f"
34780,cleveland,thursday,"clear skies, low of 70f, high of 90f"
34781,cleveland,friday,"cloudy, low of 90f, high of 100f"
34782,cleveland,saturday,"cloudy, low of 30f, high of 40f"
34784,boston,monday,"dew, low of 40f, high of 60f"
34785,boston,tuesday,"raining, low of 90f, high of 100f"
34787,boston,thursday,"warm, low of 60f, high of 70f"
34788,boston,friday,"dew, low of 30f, high of 40f"
34790,boston,sunday,"cloudy, low of 30f, high of 40f"
34791,durham,monday,"hot, low of 30f, high of 40f"
34793,durham,wednesday,"rain, low of 70f, high of 90f"
34794,durham,thursday,"windy, low of 40f, high of 60f"
34795,durham,friday,"raining, low of 80f, high of 90f"
34796,durham,saturday,"windy, low of 60f, high of 80f"
34800,san_francisco,wednesday,"windy, low of 80f, high of 90f"
34803,san_francisco,saturday,"foggy, low of 80f, high of 90f"
34804,san_francisco,sunday,"clear skies, low of 80f, high of 100f"
34805,compton,monday,"cloudy, low of 70f, high of 80f"
34809,compton,friday,"cloudy, low of 80f, high of 100f"
34811,compton,sunday,"snow, low of 60f, high of 80f"
34812,los_angeles,monday,"foggy, low of 70f, high of 80f"
34813,los_angeles,tuesday,"overcast, low of 90f, high of 100f"
34814,los_angeles,wednesday,"snow, low of 30f, high of 40f"
34816,los_angeles,friday,"foggy, low of 80f, high of 90f"
34818,los_angeles,sunday,"warm, low of 40f, high of 60f"
34819,san_jose,monday,"cloudy, low of 80f, high of 100f"
34820,san_jose,tuesday,"overcast, low of 90f, high of 100f"
34822,san_jose,thursday,"warm, low of 30f, high of 40f"
34826,new_york,monday,"foggy, low of 80f, high of 90f"
34829,new_york,thursday,"hot, low of 60f, high of 80f"
34832,new_york,sunday,"overcast, low of 70f, high of 80f"
34833,cleveland,monday,"raining, low of 30f, high of 40f"
34834,cleveland,tuesday,"rain, low of 30f, high of 40f"
34835,cleveland,wednesday,"clear skies, low of 70f, high of 80f"
34844,optometrist_appointment,date,the 9th
34854,football_activity,date,the 12th
34880,san_mateo,monday,"raining, low of 40f, high of 60f"
34882,san_mateo,wednesday,"warm, low of 60f, high of 70f"
34884,san_mateo,friday,"overcast, low of 40f, high of 60f"
34885,san_mateo,saturday,"windy, low of 80f, high of 100f"
34887,fresno,monday,"cloudy, low of 40f, high of 60f"
34889,fresno,wednesday,"rain, low of 90f, high of 100f"
34890,fresno,thursday,"hot, low of 80f, high of 90f"
34892,fresno,saturday,"windy, low of 60f, high of 70f"
34893,fresno,sunday,"foggy, low of 80f, high of 90f"
34894,cleveland,monday,"cloudy, low of 30f, high of 40f"
34895,cleveland,tuesday,"cloudy, low of 90f, high of 100f"
34896,cleveland,wednesday,"warm, low of 60f, high of 80f"
34899,cleveland,saturday,"cloudy, low of 60f, high of 70f"
34900,cleveland,sunday,"windy, low of 60f, high of 80f"
34901,compton,monday,"warm, low of 70f, high of 80f"
34902,compton,tuesday,"cloudy, low of 70f, high of 80f"
34903,compton,wednesday,"windy, low of 70f, high of 90f"
34909,boston,tuesday,"hot, low of 80f, high of 100f"
34911,boston,thursday,"snow, low of 70f, high of 80f"
34912,boston,friday,"hot, low of 60f, high of 80f"
34913,boston,saturday,"raining, low of 90f, high of 100f"
34915,manhattan,monday,"windy, low of 30f, high of 40f"
34918,manhattan,thursday,"windy, low of 90f, high of 100f"
34920,manhattan,saturday,"rain, low of 90f, high of 100f"
34922,san_jose,monday,"hot, low of 70f, high of 90f"
34923,san_jose,tuesday,"warm, low of 40f, high of 60f"
34924,san_jose,wednesday,"snow, low of 80f, high of 90f"
34925,san_jose,thursday,"foggy, low of 70f, high of 80f"
34927,san_jose,saturday,"foggy, low of 70f, high of 90f"
34928,san_jose,sunday,"windy, low of 70f, high of 90f"
34930,seattle,tuesday,"warm, low of 60f, high of 80f"
34931,seattle,wednesday,"hot, low of 40f, high of 60f"
34933,seattle,friday,"clear skies, low of 30f, high of 40f"
34934,seattle,saturday,"snow, low of 70f, high of 80f"
34937,mountain_view,tuesday,"warm, low of 80f, high of 100f"
34938,mountain_view,wednesday,"raining, low of 90f, high of 100f"
34941,mountain_view,saturday,"clear skies, low of 40f, high of 60f"
34951,san_jose,tuesday,"overcast, low of 40f, high of 60f"
34952,san_jose,wednesday,"hot, low of 90f, high of 100f"
34953,san_jose,thursday,"foggy, low of 80f, high of 90f"
34956,san_jose,sunday,"clear skies, low of 90f, high of 100f"
34957,los_angeles,monday,"raining, low of 60f, high of 70f"
34959,los_angeles,wednesday,"cloudy, low of 90f, high of 100f"
34962,los_angeles,saturday,"foggy, low of 70f, high of 90f"
34963,los_angeles,sunday,"clear skies, low of 60f, high of 70f"
34965,san_mateo,tuesday,"warm, low of 80f, high of 90f"
34967,san_mateo,thursday,"warm, low of 40f, high of 60f"
34968,san_mateo,friday,"clear skies, low of 40f, high of 60f"
34972,oakland,tuesday,"rain, low of 30f, high of 40f"
34976,oakland,saturday,"raining, low of 80f, high of 100f"
34977,oakland,sunday,"rain, low of 80f, high of 90f"
35056,alameda,monday,"hail, low of 90f, high of 100f"
35057,alameda,tuesday,"misty, low of 50f, high of 60f"
35058,alameda,wednesday,"hail, low of 30f, high of 50f"
35062,alameda,sunday,"stormy, low of 60f, high of 70f"
35064,menlo_park,tuesday,"snow, low of 20f, high of 40f"
35069,menlo_park,sunday,"dew, low of 20f, high of 40f"
35071,durham,tuesday,"snow, low of 40f, high of 50f"
35072,durham,wednesday,"blizzard, low of 50f, high of 60f"
35073,durham,thursday,"foggy, low of 20f, high of 40f"
35075,durham,saturday,"drizzle, low of 60f, high of 70f"
35076,durham,sunday,"blizzard, low of 40f, high of 60f"
35077,cleveland,monday,"overcast, low of 70f, high of 90f"
35080,cleveland,thursday,"rain, low of 70f, high of 80f"
35081,cleveland,friday,"clear skies, low of 90f, high of 100f"
35083,cleveland,sunday,"snow, low of 50f, high of 60f"
35084,mountain_view,monday,"raining, low of 40f, high of 50f"
35087,mountain_view,thursday,"blizzard, low of 30f, high of 40f"
35088,mountain_view,friday,"raining, low of 30f, high of 50f"
35091,boston,monday,"dew, low of 70f, high of 90f"
35093,boston,wednesday,"cloudy, low of 20f, high of 30f"
35095,boston,friday,"frost, low of 30f, high of 50f"
35099,new_york,tuesday,"foggy, low of 20f, high of 40f"
35100,new_york,wednesday,"hail, low of 70f, high of 80f"
35101,new_york,thursday,"humid, low of 50f, high of 70f"
35104,new_york,sunday,"drizzle, low of 30f, high of 50f"
35114,optometrist_appointment,date,the 1st
35156,ravenswood_shopping_center,distance,8 miles
35169,durham,monday,"rain, low of 40f, high of 60f"
35170,durham,tuesday,"dry, low of 90f, high of 100f"
35171,durham,wednesday,"warm, low of 80f, high of 90f"
35173,durham,friday,"windy, low of 20f, high of 40f"
35174,durham,saturday,"foggy, low of 20f, high of 30f"
35176,exeter,monday,"clear skies, low of 60f, high of 80f"
35178,exeter,wednesday,"hail, low of 40f, high of 60f"
35179,exeter,thursday,"drizzle, low of 90f, high of 100f"
35182,exeter,sunday,"raining, low of 40f, high of 50f"
35183,mountain_view,monday,"raining, low of 80f, high of 100f"
35186,mountain_view,thursday,"humid, low of 50f, high of 70f"
35187,mountain_view,friday,"foggy, low of 20f, high of 30f"
35188,mountain_view,saturday,"clear skies, low of 30f, high of 40f"
