inputs,outputs
"please give me the address and directions to my friend's house within 5 miles of here, avoiding all heavy traffic.  jacks_house is at 864 almanor ln, 4 miles away. setting navigation now.  thanks.",you're welcome!
is it foggy in exeter today,it is not foggy in exeter today.
which days will be san_mateo_sunday_weather this week for which city would you like to know that?,what city would you like the san_mateo_sunday_weather weather information for?
give me directions to the grocery store,we are 1 miles away from Whole_Foods and 3 miles away from Sigona_Farmers_Market: where do you want to go?
"what are the directions for the nearest shopping center without traffic? there is no shopping centers close without traffic but i have one that is Topanga_Mall_distance away with a car collision noted on the route. do you want the details? yes, please give me the address and directions via a route that avoids as much heavy traffic as possible.  setting navigation to the Topanga_Mall at 171 oak road now.  thank you car!",your welcome.
where is there pizza? Papa_Johns and Round_Table are both near. which is faster to get to?,"papa jones is Papa_Johns_distance away and there is no traffic on our way, i already sent its position on your map"
"give me a quick route to a pizza restaurant within 5 miles of here there is dominos, it's Dominos_distance away and with Dominos_traffic_info on our way where is domino's at? dominos is located at Dominos_address. setting navigation now.  yes, please pick a quick route and send it on my screen! showing you the quickest route to dominos! ok, sounds good, thank you car assistant",no problem
get me the weather forecast for the next 7 days what city do you want the weather for? inglewood,"inglewood should be 40-60f monday to wednesday, 90-100f thursday, 30-40f friday and sunday, and 70-90f saturday."
i need the quickest route to the hospital.  Stanford_Childrens_Health and Palo_Alto_Medical_Foundation are both near. which is within 3 miles?,they're both Stanford_Childrens_Health_distance away but there is a road block near stanford: we go to palo alto?!
what is my address? your address is 10 ames street. thanks!,anytime!
i need information for my upcoming conference. your conference with the conference_party is on conference_date at 6 pm in the conference_room to discuss the dress code. thank you.,i'm here to serve.
what will the highest temperature in seattle be today? there will be a high temperature of 50f today in seattle. thank you car!,you are very welcome
what date is the football game and who is attending?,"you have 2 football games, one on the 18th with your aunt and one on the 14th with ana."
i have a doctor's appointment to go to at 12 pm,what date would you like that 12pm appointment set for?
what's the temperature going to be like on friday what city would you like the temperature for on friday? please check the temperature for menlo_park. thanks!,on friday in menlo_park it will be frosty. there is going to be amanhattan_sunday_low and amanhattan_sunday_high.
"find me the best parking spot Stanford_Oval_Parking is 2 miles away. perfect, address? 610 amarillo ave is the address to Stanford_Oval_Parking. thanks, let's go there.","i sent the info on your screen, you're welcome!"
"what's the quickest route to the hospital? there are 2 available hospitals and both are 6 miles away with heavy traffic on their direction. which one do you prefer between Palo_Alto_Medical_Foundation and Stanford_Express_Care? i would rather go to stanford express please. what's the address? Stanford_Express_Care is located at 214 el camino real thank you car, please pick a route with the least traffic to go there",i sent the info on your screen. and you're welcome!
local chinese restaurant is needed pronto. Mandarin_Roots is a chinese restaurant located 1 mile away. what's the address? 271 springer street is the address for Mandarin_Roots. thanks!,you're welcome and happy to help.
"pull up directions to 5672 barringer street i don't see 5672 barringer street nearby; can you confirm that that is the destination you want? yes, it should be near me in the direction we're going now",i still do not see 5672 barringer street nearby. home is nearby at home_distance away; do you wish to go there?
find me somewhere to park you can park at Palo_Alto_Garage_R located at 481 amaranta ave.  is that the quickest route?,"there is a Palo_Alto_Garage_R_traffic_info on the 8 mile route to the garage, but it's your closest option. shall i set directions there?"
"check forecast for today and tomorrow what city can i give you today and tomorrow's forecast for? in san_francisco, please.",san_francisco will be windy today between 50-70f and clear tomorrow with a low of 30f and high of 40f.
"what is the weather like right now what city do you want the weather for? exeter, please. is it humid? today is exeter_monday_weather in exeter, with low temperature of 50f, andexeter_monday_high thanks so much.",you're welcome.
is it supposed to rain this week,what city are you inquiring about?
"tell me if it will alameda_sunday_weather in alameda in the next 48 hours no, it's not gonna alameda_sunday_weather in alameda today nor tomorrow thank you car!",no problem
"directions to coffee and tea house there are two local coffee shops; one is Philz_distance away and one is 6 miles away which would you prefer? pick the one near my current location and avoid all heavy traffic please philz is Philz_distance away but there is Philz_traffic_info. there isn't any traffic on the route to starbucks, but it is 6 miles away from your location. ok, give me the address to philz philz is located at Philz_address. thank you car!","no problem, you're welcome."
is it raining in grand_rapids currently? it is not raining in grand_rapids right now. thank you very much.,glad to help
can you check the time and date of my dinner?,your dinner is on dinner_date at dinner_time.
"check out my appointment check appointment for doctor, optometrist or dentist?  doctor_appointment, i need to find out the agenda.","you have no agenda set, would you like to set one right now?"
"car i need a quick route to a hospital in the area Stanford_Express_Care is located at 214 el camino real, 4 miles away. would you like directions there? yes, please, send its address on my map and pick a quick route for me! unfortunately there is a Stanford_Express_Care_traffic_info but i sent on your screen another route to reach the hospital in the shortest time thank you car!",you're welcome!
"car, remind me to take my medicine at 11 am, with jeff.",reminder set to take medicine at 11 am with jeff.
what's the weekly forecast for cleveland,during the next week the weather in cleveland will be mostly cleveland_wednesday_weather and cleveland_sunday_weather.
hello car. hi i want to find out the time and the parties attending my lab_appointment please.,your sister will be in attendance at your 3 pm lab_appointment
is there dew on the weekend what city are you inquiring about? san_mateo.,there will not be dew this weekend in san_mateo.
directions to local hotel i have no hotels listed as local.  what about a rest stop while avoiding heavy traffic.,The_Westin located at 329 el camino real is 4 miles away without any traffic
what is the forecast for the rest of the day for what city would you like to know the forecast?  check inglewood and tell me if it will be inglewood_sunday_weather.,the forecast does not predict any inglewood_sunday_weather in inglewood today.
reminder of a doctor's appointment at the end of march,is there a specific date at the end of march that you would like me to set a reminder for your doctor's appointment?
it's gonna be oakland_tuesday_weather in oakland in next few days? it will be oakland_tuesday_weather in oakland on tuesday.  thank you car!,you are welcome.
schedule a yoga activity with my father on the 3rd at 3 pm.,reminder for yoga on the 3rd at 3pm with your father is set
tell me when is my next meeting and who are invited in the meeting and what are the agenda of the next meeting,you next meeting is on meeting_date at 1pm.  meeting_party will be in attendance to go over the budget.
"i'd like the address to a friend who lives close to where i am, with directions for the fastest route possible. jack's house is located at 864 almanor ln in Whole_Foods_traffic_info. setting directions now.  sounds great, thanks.",you're welcome
"where is the local pizza shop at? the nearest is dominos at Dominos_address. would you like directions there? could you please pick a route with no traffic to reach there? dominos is Dominos_distance away, but there is a Dominos_traffic_info. would you still like directions there? yes, please give directions via the route with least traffic.","ok, sending directions to domino's at Dominos_address with route having least traffic."
what's the temperature going to be like this week,what location do you want the temperature for?
what's the forecast in brentwood for sunday?,sunday in brentwood is the weather should be rainy with abrentwood_sunday_low andbrentwood_sunday_high
what is the weather,please tell me the city you would like the weather for?
tell me the time of today's meeting,the meeting is at 7pm
is there a grocery store close? the only grocery store is Sigona_Farmers_Market. what is the address? Sigona_Farmers_Market is located at 638 amherst st. need anything else? no set the navigation for there please.,"navigation set, we should arrive shortly."
what's the forecast for the weather today what city are you asking about? i'd like to know if there are going to be blizzard on boston today,today it's gonna be boston_monday_weather in boston
what is the weather next week what location do you want the weather for? will it be clear in oakland?,it will not be clear in oakland next week.
"show me the nearby hospital the Stanford_Express_Care hospital is 3 miles away, there currently isn't any traffic on this route. the address of the hospital is 214 el camino real this sounds great, thank you, let's go there!",you are welcome. heading to Stanford_Express_Care.
"car i need to get to some rest stop, i'm tired, please find something in the local area Hotel_Keen is 6 miles away. what is the address? Hotel_Keen is at 578 arbol dr. is there any traffic on the way there? no, there will not be any traffic on the way to Hotel_Keen fantastic, let's go there then!","okay, heading to Hotel_Keen"
what is the chance of rain next week,what city are you wanting to know if it's going to rain?
what time is my appointment today,which appointment are you referring to?
what's the weather forecast going to be for each day this upcoming week is it going to new_york_tuesday_weather,where are you wanting to know the new_york_tuesday_weather forecast for?
check weather forecast for seattle which days are you interested in? for right now car.,"in seattle is seattle_monday_weather now, with a low temperature of 60f, and aseattle_monday_high"
.,your next football_activity is saturday at 11am.
what is the weather forecast in the city,which city are you interested in?
find the nearest gas station near my currently location. there is a valero nearby. can you get me the address please? valero is at Valero_address. thanks!,i'm here to serve!
what is the weather next week in new_york,new_york's forecast is mostly overcast for the week with highs in the 90s and lows in the 70s.
where are the rest stops near me? we're 3 miles away from Comfort_Inn: do you want to go there? is that the quickest route to one?,that is only Comfort_Inn_distance away with moderate traffic.
give me a quick route to a grocery store,"the nearest grocery store is Safeway_distance away, a safeway at Safeway_address."
please get me to a gas station asap.,chevron is the closest gas station at Chevron_address
what is the weather like today and tomorrow what city would you like the weather for? will it rain in mountain_view?,"rain is not predicted today, but tomorrow rain is predicted to fall in mountain_view"
where do i live?,your home address is home_address.
"what time is dinner and who is it with? dinner is at 7 pm with dinner_party. okay, perfect! thanks.",you're welcome
check weather where would you like me to check the weather for? mountain_view for the next 7 days please.  what would you like to know about the weather in mountain_view over the the next 7 days? will it be overcast? it will not be overcast in mountain_view this week. thanks.,no problem.
get me directions to the grocery store,Whole_Foods is 3 miles away but there is heave traffic on our way
will it be misty in los_angeles today?,"no, today is gonna be cloudy in los_angeles"
"find directions to home i do not have directions for home at this moment. my home is within 3 miles, does this help?",do you mean you want to go at tom's house? it's the only private address i have in a 3 miles range.
what day is my meeting?,your meeting is meeting_date at 7 pm.
"what parties are on the calendar, what time are they, and where are they being held? there are no parties scheduled what time is my meeting, where is it and who will be there.",you have two meetings scheduled on the calendar. the first meeting is on meeting_date at meeting_time with the meeting_party in meeting_room.  the second meeting is at meeting_time with meeting_party in meeting_room.
what's the current temperature outside for what city would you like the current weather for? i'm located in exeter. the temperature in exeter is showing aexeter_saturday_low with aexeter_tuesday_high. thanks.,you are very welcome
will it be overcast today in grand_rapids?,"no, today is gonna be foggy in grand_rapids"
make me an appointment with the optometrist,"ok, making an appointment with your optometrist."
is it durham_saturday_weather today what city are you asking about? menlo_park.,it is clear today in menlo_park.
will it compton_thursday_weather anytime in the next week,where would you like me to check to see if it will be compton_thursday_weathering during the week?
does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.  do you want me to check if it will snow on a specific day or the entire week? please check if it will snow today or tomorrow,compton_thursday_weather is predicted in compton today but there is no snow for today or tomorrow.
"directions to the parking garage the closest parking garage is Dish_Parking, would you like directions? yes, please give me the quickest route.  i'm sorry. i have searched and found another parking garage that is only Webster_Garage_distance away because both have Dish_Parking_traffic_info. would you like that address instead? that will work fine, sure, thank you car, set the navigation there too setting navigation to Webster_Garage.  thanks!",no problem.
i'm looking for some takeout chinese food,"you can pick between tai_pan and Jing_Jing, both 4 miles away, or P.F._Changs, 6 miles away"
please give me the address and directions via a route with Dominos_traffic_info to the nearest pizza restaurant.,dominos is at Dominos_address. it is Dominos_distance away with Dominos_traffic_info. setting directions now.
where does  my friend live? jill lives at 347 alta mesa ave. i need the quickest route there.,here is the quickest route to jill's house.
where can i find tea around me,the closest tea shop is coupa and is Coupa_distance from you located at Coupa_addressnue.
"schedule swimming tomorrow at 2 with my brother scheduling a swimming activity at 2 pm with your brother, what day should i add this? it is tomorrow great, i have that swimming activity all scheduled for you! can i help with anything else? that is all, thanks.",will that be 2 pm or 2 am?
"will it be foggy in downtown_chicago on tuesday? yes, it will be foggy downtown_chicago on tuesday. great, thanks",you're welcome
what's the weekly weather report for the city what city are you interested in? i am interested in redwood_city.,"this week in redwood_city shows rain, frost, snow, drizzle, fog, and overcast skies."
give me directions to the nearest shopping mall,we are 5 miles away from Town_and_Country: does it sound good to you?
"how do i get to the nearest restaurant the closest restaurant is Panda_Express, would you like directions? sure, thanks, pick a quick route too please",Panda_Express is 1 mile away at 842 arrowhead way and there is moderate traffic.
"please give me the address and directions for a hotel within 4 miles of here, avoiding all heavy traffic.  Travelers_Lodge is 1 mile away at 333 arbol dr. with no traffic noted. that sounds great. set the gps for there please.","i sent its position and route on your screen, drive carefully!"
schedule a football game on tuesday at 6pm with marie reminder set for football game at 6 pm on tuesday with marie.  thanks. great job.,it is my pleasure to assist you.
"where is my meeting, which parties will be attending, and what is the meeting about? your meeting with the meeting_party in in meeting_room to go over the quarterly report. please set a reminder for this, thank you!",currently you have tmeeting_partyee meetings schedules. the first is in meeting_room with the meeting_party about the quarterly report. the next is in meeting_room with meeting_party about signing the nda. and the last is in conference room 100 with the meeting_party about signing the nda as well.
what is the forecast for this week what city are you seeking information for? san_francisco. any particular details you are interested in? will it be san_francisco_sunday_weathering? it will only rain on sunday in san_francisco next week. thank you.,you are welcome.
"i need the quickest route to a coffee shop.  there is philz which is currently Philz_distance away from your current location. is there a quick route to reach it? yes there is a short route, plotting the shortest route now.  what's the address of the location?","philz is at Philz_address, Philz_distance away in Philz_traffic_info. setting navigation now"
what day and time is my yoga class? your yoga_activity is on the 3rd at 10 am. thank you kindly.,you are welcome.
"remind me about my optometrist appointment on thursday at 11 am, my aunt is coming okay, i will be sure to remind you about your appointment! anything else? no, thank you!",you are welcome.
what is the weather forecast like in the city what city would you like the forecast for? san_francisco on sunday. sunday's forecast is calling for a blizzard in san_francisco with lows near 40 and highs in the 60s.  thank you car!,you're welcome anytime.
will it rain next week,what location are you wondering about?
"i'm desiring to eat at some chinese restaurant: is there any in the area? there are Mandarin_Roots 5 miles away and Jing_Jing 6 miles away: which one would you like to try? the one with the quickest route.  there is no traffic on the way to Mandarin_Roots. would you like to navigate there now? yes, please do.",gps is set and we should arrive shortly.
schedule a yoga activity with martha for the 4th at 10am. setting a reminder for yoga activity with martha for the 4th at 10 am. thanks.,my pleasure.
"add tennis on wednesday at 5 to my calendar is that 5 pm on wednesday? yes, set a reminder for tennis activity at 5 pm on wednesday at 3pm.",i am putting your tennis event on the calendar at 5 pm on wednesday and will send a reminder at 3 pm.
schedule an optometrist appointment,on what date and time should i set the appointment reminder?
"is it going to be los_angeles_friday_weather this weekend what city should i check for rain this weekend in? los_angeles, thank you! in los_angeles it will be cloudy on saturday and it might snow on sunday, no rain thank you car!",you're welcome!
is there dew on the weekend what city are you inquiring about? san_mateo. there will not be dew this weekend in san_mateo. thank you. anytime. that will be all.,have a great day.
look at today and tomorrow and tell me if there will be any snow in san_francisco it will not snow in the next 2 days in san_francisco. thanks.,"you're welcome, have a good day."
what time is dinner and who is attending?,there are dinners on dinner_date and on dinner_date. for which one are you looking for?
take me to the nearest starbucks,"i am unable to locate starbucks. however there are two coffee or tea place nearby, Cafe_Venetia and philz"
"start listening what will be the weather for the week what city can i give you next week's weather for? can you tell me what if there is going to be a blizzard in cleveland? it looks like thursday and sunday cleveland will be seeing some cleveland_sunday_weather. okay, but is there a blizzard predicted in cleveland this week? there aren't any blizzards predicted to hit cleveland this week. thank you",you are welcome.
"what is the temperature outside where are you located? what is the temperature in camarillo right now? right now the temperature in camarillo is acamarillo_friday_low and acamarillo_friday_high. great, thank you",you're welcome!
"find me a parking garage around me.  there is a parking garage Palo_Alto_Garage_R_distance away at 481 amaranta ave but a road block is noted nearby.  ok, please give me directions to travel the shortest distance.","ok, setting navigation to the Palo_Alto_Garage_R now."
schedule a doctor's appointment,
"find directions to home home at home_address is a 1 mile drive, but be aware there is a home_traffic_info that's fine. please give me directions.",directions have been set to your screen.
"is it going to san_francisco_monday_weather this week please tell me what city i can give you the san_francisco_monday_weather information for. san_francisco. yes, snow is predicted to fall in san_francisco on monday. thanks.",you are welcome.
"are there any hospitals near me Palo_Alto_Medical_Foundation	is 7 miles away. please pick the quickest route and send it on my map, thank you!",here is the quickest route to Palo_Alto_Medical_Foundation.
"where is the nearest parking garage? Dish_Parking is the nearest parking garage at 550 alester ave, it is 4 miles away and there is a road block nearby great thank you",you are welcome driver
"where can i get tea? i have two locations you could purchase some tea at. which would you prefer? i'd like to give a name to these two ""locations"" and maybe an address, thanks! okay, both Palo_Alto_Cafe and teavana are near.  which one has no traffic on our way? palo alto would be better as it only has Palo_Alto_Cafe_traffic_info and teavana is Teavana_traffic_info.  would you give me the address for the Palo_Alto_Cafe and set the quickest route there please?",the quickest route noted is to Palo_Alto_Cafe_address. do you want me to set the navigation?
"tell me what the temperature will be like for the next week for what city are you interested in the weather? alameda, please","the temperature in alameda will be between 30f to 60f from monday to wednesday, and between 50f to 80f from thursday to sunday"
set a reminder,when should i set this reminder and what for?
"where's parking there are 2 nearby parking garages. one at 610 amarillo ave and one at Webster_Garage_address. which one is nearer to me? find the quickest route to get there, please directing you to Webster_Garage. thank you.",you're welcome!
"find me the nearest grocery store the nearest grocery store is Sigona_Farmers_Market_distance away called Willows_Market at 409 bollard st ok, please direct me there via the fastest route.","okay, there is a car collision nearby Willows_Market, thre is another route to Sigona_Farmers_Market. it is the same amount of miles away, this route has moderate traffic"
remind me to go swimming on the 12th of this month,"okay, i've set a reminder to go swimming on the 12th."
what is the date and time of my next dentist_appointment?,your next dentist_appointment is on the 3rd at 7 pm.
"please give me the address and directions to a gas station near my current location, avoiding all heavy traffic.  the nearest gas station is chevron that's located Chevron_distance away at Chevron_address. in this moment there is Chevron_traffic_info on our way, i sent all the details on your screen thank you very much car!",you're welcome!
what is the date for my doctor's appointment and who will be attending?,"you have two doctor's appointment's scheduled next week, one on the 4th at 2pm with tom attending and one on sunday with jeff at 6pm."
what will the weather be like tomorrow,where can i give you the weather forecast for?
which one is gonna be the highest temperature tomorrow in durham? the highest temperature in durham is predicted to be 50 tomorrow thank you.,anytime.
will it be raining in the next 7 days what city are you asking about? alhambra,there isn't any rain predicted in alhambra
show me the route to coffee shop we are Teavana_distance away from teavana: would you like me to send you its address on screen? is it the quickest to get to from my current location? yes teavana is the only place close to you at Teavana_distance away located at Teavana_address. do you want me to set the gps? set gps on route to avoid Teavana_traffic_info.,"i found some alternate road, follow your gps and let's hope to not get lost... just kidding!"
"find the nearest parking lot we are 6 miles away from Palo_Alto_Garage_R and there is heavy traffic on its way which one is it the quickest route to reach? there is heavy traffic on the route to Palo_Alto_Garage_R. i'm sorry this is the only parking garage i am able to locate no problem, thanks",you're welcome!
what is today's forecast what city do you want the weather forecast for? will it compton_saturday_weather in compton?,it will compton_saturday_weather on saturday in compton.
where can i find a hospital?,one hospital is located locally at 214 el camino real. there is a car collision nearby. do you still want to go?
"what is the weather going to be like today and tomorrow what city do you want to hear today and tomorrow's weather for? i need this information for menlo_park, and i need to know if it will snow as well.",it will not be snowing any time soon in menlo_park.
i'd like a chinese restaurant we're 7 miles away from Panda_Express but there is a car collision nearby is that the only chinese spot you have listed?,Panda_Express is the only one currently listed.
when is the next yoga lesson and who is coming with me?,you have one yoga_activity on tuesday and one on thursday. which one are you interested in?
"car i need to get to a rest stop, please pick something with a quick route within 2 miles from here the only rest stop is Hotel_Keen_distance away. mmm, patience.. please send me a quick route to get there, thank you!","okay, sending you the info for Hotel_Keen at 578 arbol dr"
get me directions to the closest starbucks,navigating you to starbucks.
is there going to be snow in boston on monday?,"it does not look like there will be snow, the forecast for monday is boston_tuesday_weather in boston"
"where can i get chinese food? there are two restaurants within 6 miles; however, one has a road block nearby. the P.F._Changs has moderate traffic on the way.  which is closer? the pf chans is P.F._Changs_distance away with moderate traffic.  please pick the route with the shortest distance and let's go there, thank you!",i sent the info on your screen. you're welcome!
will it be warm in cleveland on tuesday?,the forecast on tuesday for cleveland is cleveland_tuesday_weather.
"schedule a swimming activity with marie on the 5th at 10am. okay, scheduling a swimming activity with marie on the 5th at 10am. thanks!",no problem.
"what date is the football game and who is attending?  you have 2 football games, one on the 18th with your aunt and one on the 14th with ana. thanks for the info.",glad to help
"is there any rain in the local forecast what city? grand_rapids, its it going to rain on saturday?",there will be no rain on saturday in grand_rapids.
confirm meeting your meeting is set for meeting_date at meeting_time with the meeting_party in meeting_room. okay that is good.,happy to help
show me the locations of all of the nearby motels,"the Comfort_Inn located at 753 university ave is the only rest stop i can find. there is a road block nearby, but it is 3 miles away"
"take me to the nearest cafe the nearest cafe is teavana, it's at Teavana_address, Teavana_distance away is there any traffic on the way? yes Teavana_traffic_info, i have another one that is Cafe_Venetia_distance away with no traffic. do you want the address to it? yes please that sounds great.",it is Cafe_Venetia which is located at 269 alger drive.
which one will be the lowest temperature in danville during the next week?,the lowest temperature this week in danville will be on monday with adanville_thursday_low
what's the weather forecast for the next week what city do you want the weather for? chicago,"in chicago, it will be 90-100f for most of the week, the only exceptions are monday and saturday.  it should be 30-40f on monday and 60-70f on saturday."
"need a coffee place within 4 miles with the quickest route. starbucks is Starbucks_distance away. that's good, please pick the fastest route to go there setting gps for quickest route. do you need any more info? yes i need the address please.","Starbucks_address, you can see it on your map!"
set a reminder for a swimming activity at 7 pm wednesday with my sister.,"okay, setting a reminder for a swimming activity with your sister for wednesday at 7pm."
find the closest parking lots to me please,the closest parking garage is Palo_Alto_Garage_R. it is 3 miles away with no traffic.
"look for parking the nearest parking is palo alto garage, about 5 miles from you. the address is 481 amaranta avenue. would you like directions? yes, please, send on my screen a route with no traffic to reach there!",there is a car collision on route.
schedule meeting,on what date and time should i schedule your meeting
what is the current temperature,what city do you want to know the temperature for?
where's the nearest place to get lunch,there is a Panda_Express 3 miles away on 842 arrowhead way
"give me weather forecast for today what city should i check today's forecast for? do you know if it's going to cleveland_thursday_weather in cleveland today? yes, it is scheduled to cleveland_thursday_weather in cleveland today with a temperature between 90-100f. thanks.",glad to help
"where is the nearest grocery store the nearest grocery store is Trader_Joes, which is at 408 university ave (about 5 miles away). how is the traffic? i need the least amount of traffic.","there is Trader_Joes_traffic_info now, the address is 408 university ave and i've already set the gps to go there"
schedule a optometrist appointment on the 7th at 2 pm with jon.,"okay, scheduling a optometrist appointment with jon for the 7th at 2pm."
where can i get groceries? i have a grocery store 1 mile away. would you like info on it? yes and find me the fastest route please.,"okay, the route to Whole_Foods located at 819 alma dr is 1 mile away with moderate traffic."
"give me directions to the nearest starbucks there is no starbucks nearby. any other place for coffee? coupa is nearby for coffee. can you get me the address? the address is Coupa_address, i sent it on your screen set my gps for the quickest route now.",you're all set!
what is the weather for today what location do you want the weather for? i want to know if it is raining in seattle today,there will be no rain today in seattle.
search for nearby cafe there is Cafe_Venetia 1 miles away and a couple of other farther options which is the best one with the quickest route?,the would be Cafe_Venetia.
give me the forecast for the next 7 days,for which city would you like that info for?
"please schedule my yoga class at 1pm on thursday with jon. okay, reminder scheduled for yoga class at 1pm on thursday with jon. thanks.",i'm here to serve.
what are the directions to the mall,"the Midtown_Shopping_Center is 3 miles away, would you like directions?"
"give me directions to a coffee place navigating to Cafe_Venetia. please pick the fastest route and bring me there, thank you! i only have one listed and it's got Cafe_Venetia_traffic_info. do you still want to go there? i guess, what is the address?",Cafe_Venetia is located at 269 alger drive.
find me the best parking spot there are two nearby parking garages. Dish_Parking and Webster_Garage.  what is traffic like on the route to those locations and can you send me directions to the one without any traffic?,"Webster_Garage is located 2 miles away, though there is a Dish_Parking_traffic_info. would you like directions there?"
"directions to the parking garage the closest parking garage is Dish_Parking, would you like directions? yes, please give me the quickest route.",i'm sorry. i have searched and found another parking garage that is only Webster_Garage_distance away because both have Dish_Parking_traffic_info. would you like that address instead?
"what's the weather like today and tomorrow for what city would you like to know today and tomorrow's forecast for? i need to know this information for grand_rapids. in grand_rapids, it will be rainy today between 90-100f and nowy tomorrow between 60-80f. thanks.",you are welcome.
"where can i get coffee the teavana is Teavana_distance away, and there is currently Teavana_traffic_info. would you like directions there? yes, please pick a quick route to go there and send it on my screen!","i sent all the directions on your screen, drive carefully!"
in new_york will it be foggy this week? the weather is not predicted to be foggy in new_york this week thank you very much!,glad i could help out
start listening what will be the weather for the week what city are you asking about? will it be stormy in durham?,"there is gonna be a durham_friday_weather in durham on friday, no previsions for storms"
remind me of my dentist appointment,what date and time would you like a dentist appointment reminder set?
tell me when i have yoga class,your yoga is class is on tuesday at 2 pm.
is it going to snow in the next 7 days,what city can i give you the snow information for?
"find me the best parking spot Stanford_Oval_Parking is 2 miles away. perfect, address?",610 amarillo ave is the address to Stanford_Oval_Parking.
i need a reminder for my doctor appointment on the 1st at 2 pm with ana.,scheduling doctor appointment for the 1st at 2 pm with ana.
"update me on the weekly weather forecast for this week in what city would you like the weather forecast for? will it be hot in grand_rapids this week? it will be hot on monday in grand_rapids this week, with a high of 90f that day. okay, perfect. thanks!",you are welcome!
what is the forecast in my city what is your city? i am in compton. what would you like to know about the weather in compton? tell me the forecast for the next few days,it will be compton_monday_weather on monday between 70-90f and drizzling on tuesday between 90-100f.
i need directions to my house and avoid all heavy traffic home is listed at home_address and home_traffic_info is noted.  can you put the route up on the screen please.,"setting directions now to home, home_distance away."
"i'm looking for some takeout chinese food you can pick between tai_pan and Jing_Jing, both 4 miles away, or P.F._Changs, 6 miles away i'd like to try Jing_Jing, let's go through an alternate route and in the quickest way",Jing_Jing has a route to 113 arbol drive with moderate traffic but we should still get there quickly. is that going to work?
what time is my meeting and who is going to be there and what is the agenda?,a meeting is scheduled on meeting_date at 1 pm with meeting_party in meeting_room to meeting_agenda.
car what is the weather going to be like in the next several days where do you want to know the weather for? will it rain in inglewood this weekend?,it will not rain in inglewood this weekend.
"please give me an address and directions via the fastest route to a coffee or tea place around me.  coupa is Coupa_distance away from here in Coupa_traffic_info. the address is Coupa_address thank you car, let's go there!",you're welcome!
what shopping centers are around me? the Topanga_Mall is 8 miles away. what is the address?,Topanga_Mall is located at 171 oak rd. anything else?
car i wanna go to a shopping center: is there anything within 3 miles? the Ravenswood_Shopping_Center is 1 mile away. what is the address?,"Ravenswood_Shopping_Center_address, i sent the position on your screen"
what is the date and time i should take my medicine? you have two medicine events scheduled. one on the 7th at 11am and the other on the 12th at 7pm. thanks a million.,you are always welcome.
schedule dinner with martha later this week at 11am. what day of the week do you want the reminder set for? tuesday. thank you,reminder set into your calendar.
set a date for the next tennis match,what is the date of the next tennis match?
what's the forecast report what city do you want the weather for? cleveland what days are you interested in? will it snow in the next two days in cleveland?,"there is no snow scheduled in cleveland for the next two days. the forecast for monday is cleveland_saturday_weather,cleveland_sunday_low,cleveland_sunday_high. the forecast for tuesday is cleveland_tuesday."
make me an appointment with the optometrist,"ok, making an appointment with your optometrist."
"car my friends' house should be in the area: do you see it on your map? 347 alta mesa ave, would you like me to set a route to this location? yes, please pick the shortest distance too",there is a road block nearby but i sent on your screen another map to avoid it
give me the weather for next week what location are you wanting to know the weather for? will it be inglewood_sunday_weather in new_york next week? it will not be inglewood_sunday_weather in new_york next week. thank you.,you are welcome
"show me the locations of all of the nearby motels there are The_Westin 4 miles away, and the Comfort_Inn and Hotel_Keen, both 5 miles away pick one in the area and avoid all Hotel_Keen_traffic_info please then let's go at The_Westin hotel, there is Comfort_Inn_traffic_info and it's nearby. the address is 329 el camino real sounds great, thanks.",you're very welcome!
what day is my dentist_appointment,"your dentist_appointment is on monday, at 11 am."
is there a chance of snow in this weeks weather forecast where do you want to know about snow for? what city? downtown_chicago please. i see no snow but there is a blizzard scheduled on thursday in downtown_chicago. thank you,glad to help
"where's the nearest parking garage the nearest parking garage is Dish_Parking at 550 alester ave. would you like directions there?  yes, please set directions via a route that avoids all heavy traffic if possible.",it looks like there is a road block being reported on the route but i will still find the quickest route to Dish_Parking_address.
how will it be the weather forecast for the next two days in exeter?,"the weather in exeter will be exeter_monday_weather today, and exeter_tuesday_weather tomorrow"
show me directions to the nearest starbucks,"there is no starbucks nearby, but a Peets_Coffee is located 4 miles away. would you like directions there?"
"find the closest parking garage. Palo_Alto_Garage_R	is 2 miles away. give me the address to it. palo alto garage is located at Palo_Alto_Garage_R_address. do you want me to set the gps? okay, will i encounter any traffic along the way?","yes, there may be moderate amounts of traffic"
get me directions to a local cafe there are 3 local cafe would you like the closest one? please give me the address and directions to the coffee shop closest to me.,"the closest is Peets_Coffee, 3 miles away, at 9981 archuleta ave."
where's the nearest place to get a hot cup of tea,"the nearest is coupa, Coupa_distance away, at Coupa_address. would you like directions there?"
"can you give me the address and the quickest route directions to a gas station within two miles of here? the only gas station is shell at Shell_distance away but a roadblock is being reported.  ok, please give me the address and directions via the shortest distance.  the address is Shell_address and i am setting gps presently. thank you.",you're welcome; drive carefully.
"car i need a hotel, please pick the fastest place to reach",The_Clement_Hotel	is 6 miles away.
"take me home setting navigation to home, 1 mile away in home_traffic_info.  confirm the address please, and give me directions via a route with no traffic if possible.","your address is home_address, i sent on your screen the route to go back home"
when is the meeting,the meeting is on meeting_date at 7pm.
